 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 16914, 00:00:16
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 40511, 00:00:40
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 23768, 00:00:23
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 14294, 00:00:14
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 16730, 00:00:16
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 7559, 00:00:07
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 7584, 00:00:07
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 7927, 00:00:07
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.05001_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 5378, 00:00:05
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 19285, 00:00:19
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 23979, 00:00:23
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 16860, 00:00:16
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 18677, 00:00:18
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.02501_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 1492, 00:00:01
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 1502, 00:00:01
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 1528, 00:00:01
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 1498, 00:00:01
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.01001_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_3_Delta_0.10001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, SAT, 2933, 00:00:02
